Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
IDA total,IDA,"Population, total",SP.POP.TOTL,..
India,IND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.35
India,IND,"Population, total",SP.POP.TOTL,1396387127
Indonesia,IDN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.964
Indonesia,IDN,"Population, total",SP.POP.TOTL,271857970
"Iran, Islamic Rep.",IRN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.567
"Iran, Islamic Rep.",IRN,"Population, total",SP.POP.TOTL,87290193
Iraq,IRQ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.239
Iraq,IRQ,"Population, total",SP.POP.TOTL,42556984
Ireland,IRL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.4
Ireland,IRL,"Population, total",SP.POP.TOTL,4985382
Isle of Man,IMN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.414
Isle of Man,IMN,"Population, total",SP.POP.TOTL,84046
Israel,ISR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.3
Israel,ISR,"Population, total",SP.POP.TOTL,9215100
Italy,ITA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.6
Italy,ITA,"Population, total",SP.POP.TOTL,59438851
Jamaica,JAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.583
Jamaica,JAM,"Population, total",SP.POP.TOTL,2820436
Japan,JPN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.1
Japan,JPN,"Population, total",SP.POP.TOTL,126261000
Jordan,JOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.475
Jordan,JOR,"Population, total",SP.POP.TOTL,10928721
Kazakhstan,KAZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.6
Kazakhstan,KAZ,"Population, total",SP.POP.TOTL,18755666
Kenya,KEN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.456
Kenya,KEN,"Population, total",SP.POP.TOTL,51985780
Kiribati,KIR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.242
Kiribati,KIR,"Population, total",SP.POP.TOTL,126463
"Korea, Dem. People's Rep.",PRK,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.078
"Korea, Dem. People's Rep.",PRK,"Population, total",SP.POP.TOTL,25867467
"Korea, Rep.",KOR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.9
"Korea, Rep.",KOR,"Population, total",SP.POP.TOTL,51836239
Kosovo,XKX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.505
Kosovo,XKX,"Population, total",SP.POP.TOTL,1790133
Kuwait,KWT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.254
Kuwait,KWT,"Population, total",SP.POP.TOTL,4360444
Kyrgyz Republic,KGZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.1
Kyrgyz Republic,KGZ,"Population, total",SP.POP.TOTL,6579900
Lao PDR,LAO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.366
Lao PDR,LAO,"Population, total",SP.POP.TOTL,7319399
Late-demographic dividend,LTE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.72211348113139
Late-demographic dividend,LTE,"Population, total",SP.POP.TOTL,2317277311
Latin America & Caribbean,LCN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.76545702484399
Latin America & Caribbean,LCN,"Population, total",SP.POP.TOTL,650534967
Latin America & Caribbean (excluding high income),LAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.78634077953752
Latin America & Caribbean (excluding high income),LAC,"Population, total",SP.POP.TOTL,588808380
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.71123571425348
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,634680385
Latvia,LVA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.2
Latvia,LVA,"Population, total",SP.POP.TOTL,1900449
Least developed countries: UN classification,LDC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.41817909188736
Least developed countries: UN classification,LDC,"Population, total",SP.POP.TOTL,1073743450
Lebanon,LBN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.253
Lebanon,LBN,"Population, total",SP.POP.TOTL,5662923
Lesotho,LSO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,12.858
Lesotho,LSO,"Population, total",SP.POP.TOTL,2254100
Liberia,LBR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.753
Liberia,LBR,"Population, total",SP.POP.TOTL,5087584
Libya,LBY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.598
Libya,LBY,"Population, total",SP.POP.TOTL,6653942
Liechtenstein,LIE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.2
Liechtenstein,LIE,"Population, total",SP.POP.TOTL,38756
Lithuania,LTU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.6
Lithuania,LTU,"Population, total",SP.POP.TOTL,2794885
Low & middle income,LMY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.68737517544042
Low & middle income,LMY,"Population, total",SP.POP.TOTL,6551590116
Low income,LIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.80140718878229
Low income,LIC,"Population, total",SP.POP.TOTL,699186538
Lower middle income,LMC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.60249708148355
Lower middle income,LMC,"Population, total",SP.POP.TOTL,3357118135
Luxembourg,LUX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.3
Luxembourg,LUX,"Population, total",SP.POP.TOTL,630419
"Macao SAR, China",MAC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.047
"Macao SAR, China",MAC,"Population, total",SP.POP.TOTL,676283
Madagascar,MDG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.801
Madagascar,MDG,"Population, total",SP.POP.TOTL,28225177
Malawi,MWI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.706
Malawi,MWI,"Population, total",SP.POP.TOTL,19377061
Malaysia,MYS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.311
Malaysia,MYS,"Population, total",SP.POP.TOTL,33199993
Maldives,MDV,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,3.001
Maldives,MDV,"Population, total",SP.POP.TOTL,514438
Mali,MLI,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.529
Mali,MLI,"Population, total",SP.POP.TOTL,21224040
Malta,MLT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.9
Malta,MLT,"Population, total",SP.POP.TOTL,515332
Marshall Islands,MHL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Marshall Islands,MHL,"Population, total",SP.POP.TOTL,43413
Mauritania,MRT,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.466
Mauritania,MRT,"Population, total",SP.POP.TOTL,4498604
Mauritius,MUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.7
Mauritius,MUS,"Population, total",SP.POP.TOTL,1265740
Mexico,MEX,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,9.33
Mexico,MEX,"Population, total",SP.POP.TOTL,125998302
"Micronesia, Fed. Sts.",FSM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.065
"Micronesia, Fed. Sts.",FSM,"Population, total",SP.POP.TOTL,112106
Middle East & North Africa,MEA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.28524017337296
Middle East & North Africa,MEA,"Population, total",SP.POP.TOTL,479966649
Middle East & North Africa (excluding high income),MNA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.65299678779145
Middle East & North Africa (excluding high income),MNA,"Population, total",SP.POP.TOTL,411810124
Middle East & North Africa (IDA & IBRD countries),TMN,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.67853507678882
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,407006855
Middle income,MIC,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.67375150443967
Middle income,MIC,"Population, total",SP.POP.TOTL,5852403578
Moldova,MDA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,14.445
Moldova,MDA,"Population, total",SP.POP.TOTL,2635130
Monaco,MCO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Monaco,MCO,"Population, total",SP.POP.TOTL,36922
Mongolia,MNG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.475
Mongolia,MNG,"Population, total",SP.POP.TOTL,3294335
Montenegro,MNE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,11.7
Montenegro,MNE,"Population, total",SP.POP.TOTL,621306
Morocco,MAR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.073
Morocco,MAR,"Population, total",SP.POP.TOTL,36688772
Mozambique,MOZ,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.004
Mozambique,MOZ,"Population, total",SP.POP.TOTL,31178239
Myanmar,MMR,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.819
Myanmar,MMR,"Population, total",SP.POP.TOTL,53423198
Namibia,NAM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.475
Namibia,NAM,"Population, total",SP.POP.TOTL,2489098
Nauru,NRU,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,..
Nauru,NRU,"Population, total",SP.POP.TOTL,12315
Nepal,NPL,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.209
